radius,size,best_params,Train_R2,Test_R2,Test_MAE,Test_MSE,Test_RMSE
1,12,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.2531589081961674,0.10396539827892759,2.546017106723141,10.356844382346623,3.2182051492014336
1,64,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9693333225808142,0.6406606319259732,1.3543625222240483,4.153435490599477,2.037997912314798
1,128,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.9836560975303857,0.6844936989696874,1.2698378818024387,3.646789594000462,1.9096569309696603
1,256,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.9690555211038914,0.6919113595481765,1.2103441322891562,3.5610523287822224,1.8870750723758243
1,512,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9307462243995106,0.7362181049426186,1.1661549060366174,3.0489314059327115,1.7461189552641343
1,1024,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9631529177739893,0.7657679278491136,1.1026393760367557,2.707378840015464,1.645411450068178
2,12,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.16304237035406743,0.005230415617792694,2.755991855982188,11.498075813087047,3.3908812738117278
2,64,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9892347441640125,0.4406564763372477,1.8105509158727284,6.465189870705307,2.542673764112358
2,128,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9804324942851776,0.5781630734249559,1.5579918904605212,4.875815504081514,2.2081248841679026
2,256,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9683532486102073,0.6139297919925613,1.4467931521806094,4.462404752353438,2.112440473091121
2,512,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9533453490918091,0.663787257905062,1.3427348107002877,3.8861256502271324,1.9713258609948616
2,1024,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9355223507736683,0.7057388409433856,1.2741026013864054,3.4012269462189795,1.8442415639549445
3,12,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.13621276234987623,-0.001417430276206666,2.8153269805478622,11.574915150842227,3.4021926974882284
3,64,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9940939177351706,0.3646167451682606,1.9649025715922452,7.344097516771662,2.709999541839751
3,128,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9877628668001882,0.5160177678362012,1.7111042941282462,5.5941239910973595,2.3651900539063155
3,256,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9756338232195508,0.5986705117051088,1.5097808300611135,4.638779627855123,2.153782632452756
3,512,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9643460661178802,0.6402794358881407,1.42711085021818,4.157841557101167,2.0390786049343874
3,1024,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9449673058289301,0.6870077049402772,1.364967466332891,3.6177313761998566,1.9020334845106845
4,12,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.134296211701035,0.010841311294394473,2.8041220068287207,11.433222097330392,3.381304792137259
4,64,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9926882058484486,0.38632251997173805,1.946794332420504,7.093210629807606,2.663308211568388
4,128,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9901904788186596,0.46672698068309004,1.769967802975629,6.163853118798005,2.482710840754115
4,256,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9795334877447056,0.5347612944687367,1.6520762609447444,5.377476343632995,2.318938624378186
4,512,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9637531272430376,0.6282591107918973,1.4576795722170994,4.296778866227274,2.072867305503966
4,1024,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.9470530226171199,0.6769826167100838,1.3730828838863889,3.733606676684882,1.9322542991761933
