complexity,loss,equation,score,sympy_format,lambda_format
1,7.6953793,8.536259,0.0,8.53625900000000,PySRFunction(X=>8.53625900000000)
3,6.8531504,f9 + 8.168464,0.0579557994341679,f9 + 8.168464,PySRFunction(X=>f9 + 8.168464)
5,5.9207754,(f4 / f9) + 8.321658,0.0731205194535243,f4/f9 + 8.321658,PySRFunction(X=>f4/f9 + 8.321658)
6,5.679226,(f4 / tanh(f9)) + 8.25486,0.04165246420639577,f4/tanh(f9) + 8.25486,PySRFunction(X=>f4/tanh(f9) + 8.25486)
7,5.382668,(f4 / f9) + (f7 * 15.240678),0.05363079381090387,f4/f9 + f7*15.240678,PySRFunction(X=>f4/f9 + f7*15.240678)
8,5.2251916,(f4 / tanh(f9)) + (f7 * 15.109996),0.029692694996237372,f4/tanh(f9) + f7*15.109996,PySRFunction(X=>f4/tanh(f9) + f7*15.109996)
9,4.9369793,(tanh(square(f4) / f9) * 4.9158835) + 7.9629107,0.056737800596728956,tanh(f4**2/f9)*4.9158835 + 7.9629107,PySRFunction(X=>tanh(f4**2/f9)*4.9158835 + 7.9629107)
10,4.771092,(tanh(square(f4) / tanh(f9)) * 4.5503945) + 7.860222,0.03417845692108327,tanh(f4**2/tanh(f9))*4.5503945 + 7.860222,PySRFunction(X=>tanh(f4**2/tanh(f9))*4.5503945 + 7.860222)
11,4.6853166,(square(f5) * tanh(square(f4) / tanh(f9))) + 7.9389334,0.01814171873546158,f5**2*tanh(f4**2/tanh(f9)) + 7.9389334,PySRFunction(X=>f5**2*tanh(f4**2/tanh(f9)) + 7.9389334)
12,4.647231,(square(f5) * tanh(square(f4) / tanh(tanh(f9)))) + 7.868265,0.008161932424378484,f5**2*tanh(f4**2/tanh(tanh(f9))) + 7.868265,PySRFunction(X=>f5**2*tanh(f4**2/tanh(tanh(f9))) + 7.868265)
13,4.537653,(12.130775 - (2.1889336 / f7)) + (tanh(square(f4) / f9) * 4.63277),0.02386164032659845,tanh(f4**2/f9)*4.63277 + 12.130775 - 2.1889336/f7,PySRFunction(X=>tanh(f4**2/f9)*4.63277 + 12.130775 - 2.1889336/f7)
14,4.434927,(((tanh(square(f4) / tanh(f9)) * 2.2230392) - 2.1061425) / f7) + 11.937441,0.02289876238213678,11.937441 + (tanh(f4**2/tanh(f9))*2.2230392 - 1*2.1061425)/f7,PySRFunction(X=>11.937441 + (tanh(f4**2/tanh(f9))*2.2230392 - 1*2.1061425)/f7)
15,4.3931737,(11.435885 - (1.8512235 / f7)) + (square(f5) * tanh(square(f4) / tanh(f9))),0.0094592512591183,f5**2*tanh(f4**2/tanh(f9)) + 11.435885 - 1.8512235/f7,PySRFunction(X=>f5**2*tanh(f4**2/tanh(f9)) + 11.435885 - 1.8512235/f7)
16,4.3727427,11.435885 + ((square(f5) * tanh(tanh(square(f4)) / tanh(f9))) - (1.8512235 / f7)),0.004661472015856113,f5**2*tanh(tanh(f4**2)/tanh(f9)) + 11.435885 - 1.8512235/f7,PySRFunction(X=>f5**2*tanh(tanh(f4**2)/tanh(f9)) + 11.435885 - 1.8512235/f7)
17,4.311317,(11.435885 - (1.8512235 / f7)) + (square(f5) * (tanh(square(f4) / tanh(f9)) + f1)),0.014147006489046432,f5**2*(f1 + tanh(f4**2/tanh(f9))) + 11.435885 - 1.8512235/f7,PySRFunction(X=>f5**2*(f1 + tanh(f4**2/tanh(f9))) + 11.435885 - 1.8512235/f7)
18,4.2709517,(3.9278827 - (f7 * -7.4534693)) + (tanh((((f4 / 0.058974728) * f10) / f9) * f4) * 3.591442),0.009406742916191244,-(-7.4534693)*f7 + tanh(f10*f4*f4/(0.058974728*f9))*3.591442 + 3.9278827,PySRFunction(X=>-(-7.4534693)*f7 + tanh(f10*f4*f4/(0.058974728*f9))*3.591442 + 3.9278827)
19,4.2598333,((tanh(((f4 / 0.077809215) * (f4 * f10)) / tanh(f9)) * 3.6494217) + 4.100222) - (f7 * -7.008636),0.0026066549081869427,-(-7.008636)*f7 + tanh(f10*f4*f4/(0.077809215*tanh(f9)))*3.6494217 + 4.100222,PySRFunction(X=>-(-7.008636)*f7 + tanh(f10*f4*f4/(0.077809215*tanh(f9)))*3.6494217 + 4.100222)
20,4.110422,((tanh(f4 * ((f1 + (f4 * (f10 / f9))) / 0.052075393)) * 3.4539459) + 4.2479563) - (f7 * -7.0138264),0.03570432842391546,-(-7.0138264)*f7 + tanh(f4*(f1 + f10*f4/f9)/0.052075393)*3.4539459 + 4.2479563,PySRFunction(X=>-(-7.0138264)*f7 + tanh(f4*(f1 + f10*f4/f9)/0.052075393)*3.4539459 + 4.2479563)
21,4.108458,((tanh(f4 * ((f1 + (f4 * (tanh(f10) / f9))) / 0.051621873)) * 3.4544573) + 4.2389255) - (f7 * -7.031323),0.0004779240084740072,-(-7.031323)*f7 + tanh(f4*(f1 + f4*tanh(f10)/f9)/0.051621873)*3.4544573 + 4.2389255,PySRFunction(X=>-(-7.031323)*f7 + tanh(f4*(f1 + f4*tanh(f10)/f9)/0.051621873)*3.4544573 + 4.2389255)
22,4.053378,(4.271253 - (f7 * -7.3886514)) + (tanh(f4 * ((((f10 * (f4 / f9)) + f1) + -0.020977844) / 0.04158398)) * 3.3479488),0.01349716808179863,-(-7.3886514)*f7 + tanh(f4*(f1 + f10*f4/f9 - 0.020977844)/0.04158398)*3.3479488 + 4.271253,PySRFunction(X=>-(-7.3886514)*f7 + tanh(f4*(f1 + f10*f4/f9 - 0.020977844)/0.04158398)*3.3479488 + 4.271253)
23,3.971372,((tanh(((((f4 * f10) / f9) + f1) * f4) / 0.052768532) * 3.2857594) + 4.2850366) - (tanh(f0) + (f7 * -7.2312307)),0.02043898061053043,-(f7*(-7.2312307) + tanh(f0)) + tanh(f4*(f1 + f10*f4/f9)/0.052768532)*3.2857594 + 4.2850366,PySRFunction(X=>-(f7*(-7.2312307) + tanh(f0)) + tanh(f4*(f1 + f10*f4/f9)/0.052768532)*3.2857594 + 4.2850366)
24,3.9695966,((tanh(f4 * ((f1 + (tanh(f10) * (f4 / f9))) / 0.052418523)) * 3.2857573) - (tanh(f0) + (f7 * -7.231228))) + 4.2850375,0.0004471494899455135,-(f7*(-7.231228) + tanh(f0)) + tanh(f4*(f1 + f4*tanh(f10)/f9)/0.052418523)*3.2857573 + 4.2850375,PySRFunction(X=>-(f7*(-7.231228) + tanh(f0)) + tanh(f4*(f1 + f4*tanh(f10)/f9)/0.052418523)*3.2857573 + 4.2850375)
25,3.894848,((tanh(f4 * ((((f4 * f10) / f9) + f1) / 0.037432)) * 3.4345367) + 3.9240139) - (tanh(f0) + ((f9 + -8.138526) * f7)),0.01900982327456433,-(f7*(f9 - 8.138526) + tanh(f0)) + tanh(f4*(f1 + f10*f4/f9)/0.037432)*3.4345367 + 3.9240139,PySRFunction(X=>-(f7*(f9 - 8.138526) + tanh(f0)) + tanh(f4*(f1 + f10*f4/f9)/0.037432)*3.4345367 + 3.9240139)
26,3.874616,((tanh((((f4 * (f10 / tanh(f9))) + f1) * f4) / 0.0491471) * 3.482157) + 4.231144) - ((f7 * (f9 + -7.4347267)) + tanh(f0)),0.0052080930502892845,-(f7*(f9 - 7.4347267) + tanh(f0)) + tanh(f4*(f1 + f10*f4/tanh(f9))/0.0491471)*3.482157 + 4.231144,PySRFunction(X=>-(f7*(f9 - 7.4347267) + tanh(f0)) + tanh(f4*(f1 + f10*f4/tanh(f9))/0.0491471)*3.482157 + 4.231144)
27,3.8564894,((tanh(((((f4 * f10) / f9) + f1) + f1) * (f4 / 0.037347063)) * 3.3343847) + 4.3949738) - (((f9 + -7.514108) * f7) + tanh(f0)),0.004689273338816784,-(f7*(f9 - 7.514108) + tanh(f0)) + tanh(f4*(f1 + f1 + f10*f4/f9)/0.037347063)*3.3343847 + 4.3949738,PySRFunction(X=>-(f7*(f9 - 7.514108) + tanh(f0)) + tanh(f4*(f1 + f1 + f10*f4/f9)/0.037347063)*3.3343847 + 4.3949738)
28,3.81634,((tanh(((((f10 * (f4 / tanh(f9))) + f1) + f1) * f4) / 0.046791945) * 3.3658235) + 4.3563747) - (((f9 + -7.409958) * f7) + tanh(f0)),0.010465439632393943,-(f7*(f9 - 7.409958) + tanh(f0)) + tanh(f4*(f1 + f1 + f10*f4/tanh(f9))/0.046791945)*3.3658235 + 4.3563747,PySRFunction(X=>-(f7*(f9 - 7.409958) + tanh(f0)) + tanh(f4*(f1 + f1 + f10*f4/tanh(f9))/0.046791945)*3.3658235 + 4.3563747)
